symbol,strategy,start_date,end_date,騰落率,平均勝率,平均取引日数,平均期待損益率,一日当たりの期待損益率平均,平均期待損益率long,一日当たりの期待損益率平均long,平均期待損益率short,一日当たりの期待損益率平均short,取引当たりの平均日数,平均取引数
ETHUSD,超短期ボリンジャー10日_1.30倍_決済差額0.00,2016-08-19,2019-08-18,65.66,39.22,129.0,1.47,0.58,3.11,1.05,0.22,0.1,2.53,51.0
ETHUSD,超短期ボリンジャー6日_2.00倍_決済差額0.00,2016-08-19,2019-08-18,64.58,37.14,89.0,1.9,0.75,3.14,1.17,0.85,0.35,2.54,35.0
ETHUSD,超短期ボリンジャー10日_1.20倍_決済差額0.00,2016-08-19,2019-08-18,63.44,40.35,141.0,1.3,0.53,2.88,0.99,0.16,0.07,2.47,57.0
ETHUSD,超短期ボリンジャー10日_1.60倍_決済差額0.00,2016-08-19,2019-08-18,62.82,41.67,93.0,1.92,0.74,3.12,1.06,1.06,0.45,2.58,36.0
ETHUSD,超短期ボリンジャー8日_1.80倍_決済差額0.00,2016-08-19,2019-08-18,61.12,35.0,97.0,1.59,0.66,2.66,1.06,0.52,0.22,2.42,40.0
ETHUSD,超短期ボリンジャー13日_1.50倍_決済差額0.00,2016-08-19,2019-08-18,59.98,36.59,101.0,1.65,0.67,2.74,0.98,0.61,0.28,2.46,41.0
ETHUSD,超短期ボリンジャー9日_1.90倍_決済差額0.00,2016-08-19,2019-08-18,59.62,38.71,75.0,1.97,0.81,4.7,1.69,-0.28,-0.13,2.42,31.0
ETHUSD,超短期ボリンジャー8日_1.40倍_決済差額0.00,2016-08-19,2019-08-18,59.42,38.0,134.0,1.41,0.53,2.19,0.78,0.79,0.31,2.68,50.0
ETHUSD,超短期ボリンジャー8日_1.90倍_決済差額0.00,2016-08-19,2019-08-18,58.82,37.5,78.0,1.89,0.78,4.48,1.65,-0.13,-0.06,2.44,32.0
ETHUSD,超短期ボリンジャー8日_1.60倍_決済差額0.00,2016-08-19,2019-08-18,56.98,39.13,116.0,1.48,0.59,2.37,0.86,0.79,0.34,2.52,46.0
ETHUSD,超短期ボリンジャー7日_1.70倍_決済差額0.00,2016-08-19,2019-08-18,56.44,36.36,108.0,1.47,0.6,2.38,0.9,0.72,0.31,2.45,44.0
